,Brand,sku,Available,Name,Price,Unit of Size,Size,Price,Previous Price,Discounted,Markdown Price,Markdown Label,Effective From,Effective Until,Whole Price,Store_ID
0,Sol Remedies,007191995160,True,Sol Remedies Sunscreen Reef Safe,$19.99,Ounce,4.0,$5.00/oz,$19.99,False,,,,,,50
1,Sun Bum,871760001923,True,Sun Bum Original SPF 15 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,50
2,Sun Bum,871760001930,True,Sun Bum Original SPF 30 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,50
3,Sun Bum,871760001947,True,Sun Bum Original SPF 50 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,50
4,Ao Organics,000274145810,True,Ao Organics Reef Safe Sunscreen Lot,$24.99,Ounce,4.0,$6.25/oz,$27.99,True,24.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,24.99,50
5,Sun Bum,871760001954,True,"Sun Bum Sunscreen Spray, SPF 15",$20.69,Ounce,6.0,$3.45/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,50
6,Alba Botanica,724742008437,True,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",$20.49,Ounce,6.0,$3.42/oz,$20.49,False,,,,,,50
7,Alba Botanica,724742003906,True,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",$14.99,Ounce,4.0,$3.75/oz,$14.99,False,,,,,,50
8,Alba Botanica,724742008253,True,Alba Botanica Hawaiian Sunscreen Soothing Aloe Vera Spf 30,$15.29,Ounce,4.0,$3.82/oz,$15.29,False,,,,,,50
9,Sun Bum,871760008137,True,Sun Bum Mineral Spray SPF 50,$17.99,Each,1.0,,$19.99,True,17.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,17.99,50
10,Sun Bum,871760002975,True,"Sun Bum Face Lotion, SPF 50",$17.19,Ounce,3.0,$5.73/oz,$18.99,True,17.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,17.19,50
11,Alba Botanica,724742004040,True,Alba Mineral Sunscreen Spf35,$20.99,Ounce,6.0,$3.50/oz,$20.99,False,,,,,,1
12,Sun Bum,871760000322,True,Sun Bum Original SPF 50 Sunscreen Lotion,$12.59,Ounce,3.0,$4.20/oz,$13.99,True,12.59,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.59,1
13,Hawaiian Tropic,075486091828,True,"Hawaiian Tropic Sunscreen Mist, Antioxidant+, SPF 30",$13.69,Ounce,3.4,$4.03/oz,$13.69,False,,,,,,1
14,Sun Bum,871760001930,True,Sun Bum Original SPF 30 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,1
15,Sun Bum,871760002098,True,Sun Bum Original SPF 70 Sunscreen Lotion,$20.69,Ounce,8.0,$2.59/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,1
16,Little Hands Hawaii,680201860643,True,Little Hands Hawaii Sunscreen Original,$18.99,Ounce,1.0,$18.99/oz,$18.99,False,,,,,,1
17,Little Hands Hawaii,680201860636,True,Little Hands Hawaii Sunscreen Tinted,$18.99,Ounce,4.0,$4.75/oz,$18.99,False,,,,,,1
18,Little Hands Hawaii,852673999477,True,Little Hands Hawaii Tinted Sunscreen,$15.49,Ounce,4.0,$3.87/oz,$15.49,False,,,,,,1
19,Maui Vera,856930004041,True,Maui Vera Mineral Sunscreen Spf30,$26.99,Ounce,6.5,$4.15/oz,$26.99,False,,,,,,1
20,Maui Vera,856930004058,True,Maui Vera Mineral Sunscreen Spf30,$12.99,Ounce,3.0,$4.33/oz,$14.99,True,12.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.99,1
21,Hawaiian Tropic,075486089894,True,"Hawaiian Tropic Island Sport Sunscreen, SPF 30",$13.99,Ounce,6.0,$2.33/oz,$13.99,False,,,,,,1
22,Hawaiian Tropic,075486091859,True,"Hawaiian Tropic Silk Hydration Lotion Sunscreen, SPF 30",$13.69,Ounce,6.0,$2.28/oz,$13.69,False,,,,,,1
23,Olay,075609000942,True,"Olay Moisturizer, All Day, With Sunscreen, Normal",$16.99,Ounce,4.0,$4.25/oz,$16.99,False,,,,,,1
24,Neutrogena,086800110804,True,Neutrogena Sheer Zinc Dry-Touch Sunscreen Broad Spectrum SPF 50,$19.99,Each,1.0,,$19.99,False,,,,,,1
25,Hawaiian Tropic,075486087463,True,Hawaiian Tropic Sheer Touch Ultra Radiance Lotion Sunscreen SPF 15,$11.99,Ounce,8.0,$1.50/oz,$13.69,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,1
26,Alba Botanica,724742003814,True,"Alba Botanica Sunscreen Sensitive Spray, SPF 50",$19.99,Ounce,6.0,$3.33/oz,$19.99,False,,,,,,1
27,Banana Boat,079656031867,True,"Banana Boat Sport Performance Sunscreen, SPF 50",$13.19,Ounce,8.0,$1.65/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,1
28,Banana Boat,079656031799,True,"Banana Boat Sport Sunscreen Spray, SPF 50+",$13.19,Ounce,6.0,$2.20/oz,$14.69,True,13.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.19,1
29,Sun Bum,871760001978,True,"Sun Bum Moisturizing Sunscreen Spray, SPF 50",$20.69,Ounce,6.0,$3.45/oz,$22.99,True,20.69,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,20.69,1
30,Hawaiian Tropic,075486132538,True,Hawaiian Tropic Mineral Translucent Sunscreen Powder Brush SPF 30,$21.49,Ounce,0.15,$143.27/oz,$23.99,True,21.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,21.49,1
31,Neutrogena,086800110828,True,Neutrogena Pure & Free Baby Sunscreen Lotion Broad Spectrum SPF 50,$17.99,Ounce,3.0,$6.00/oz,$17.99,False,,,,,,1
32,Alba Botanica,724742003906,True,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",$14.99,Ounce,4.0,$3.75/oz,$14.99,False,,,,,,1
33,Banana Boat,079656024326,True,Banana Boat Baby 100% Mineral Sunscreen Lotion SPF50,$15.49,Ounce,6.0,$2.58/oz,$15.49,False,,,,,,1
34,Banana Boat,079656049718,True,"Banana Boat Sport Performance Sunscreen Lotion, SPF 30",$11.49,Ounce,8.0,$1.44/oz,$12.99,True,11.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.49,1
35,Banana Boat,079656049725,True,"Banana Boat Sport Performance Sunscreen Lotion, SPF 50+",$12.99,Ounce,8.0,$1.62/oz,$14.59,True,12.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.99,1
36,Banana Boat,079656031775,True,Banana Boat Ultra Sport Performance SPF 15 Sunscreen,$11.49,Ounce,6.0,$1.92/oz,$11.49,False,,,,,,1
37,Banana Boat,079656004229,True,Banana Boat Ultra Sport Performance SPF 30 Sunscreen,$11.49,Ounce,10.0,$1.15/oz,$12.99,True,11.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.49,1
38,Banana Boat,079656031782,True,"Banana Boat Ultra Sport Performance Sunscreen, SPF 30",$11.99,Ounce,6.0,$2.00/oz,$13.29,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,1
39,Hawaiian Tropic,075486087470,True,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 30",$11.99,Ounce,8.0,$1.50/oz,$13.69,True,11.99,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,11.99,1
40,Hawaiian Tropic,075486087609,True,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 50",$13.49,Ounce,8.0,$1.69/oz,$14.99,True,13.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.49,1
41,Banana Boat,079656044836,True,"Banana Boat Protective Dry Oil Sunscreen with Argan Oil, SPF 15",$11.99,Ounce,6.0,$2.00/oz,$11.99,False,,,,,,1
42,Alba Botanica,724742003821,True,"Alba Botanica Sunscreen Active Kids Clear Spray, SPF 50",$19.99,Ounce,6.0,$3.33/oz,$19.99,False,,,,,,1
43,Hawaiian Tropic,075486091125,True,"Hawaiian Tropic Silk Hydration Sunscreen Clear Spray, SPF 30",$12.49,Ounce,6.0,$2.08/oz,$13.99,True,12.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,12.49,1
44,Hawaiian Tropic,075486091132,True,"Hawaiian Tropic Silk Hydration Sunscreen Face Lotion, SPF 30",$13.69,Ounce,1.7,$8.05/oz,$13.69,False,,,,,,1
45,Banana Boat,079656018066,True,"Banana Boat Kids Sport Sunscreen Spray, Broad Spectrum SPF 50+",$12.49,Ounce,6.0,$2.08/oz,$12.49,False,,,,,,1
46,Hawaiian Tropic,075486091170,True,Hawaiian Tropic Everyday Active Lotion SPF 50,$14.99,Ounce,8.0,$1.87/oz,$14.99,False,,,,,,1
47,Hawaiian Tropic,075486089863,True,Hawaiian Tropic Island Sport Lotion SPF 15,$13.69,Ounce,8.0,$1.71/oz,$13.69,False,,,,,,1
48,Hawaiian Tropic,075486089870,True,Hawaiian Tropic Island Sport Lotion SPF 30,$13.69,Ounce,8.0,$1.71/oz,$13.69,False,,,,,,1
49,Hawaiian Tropic,075486091507,True,Hawaiian Tropic Antioxidant Lotion SPF 30,$13.69,Ounce,6.0,$2.28/oz,$13.69,False,,,,,,1
50,Hawaiian Tropic,075486091514,True,"Hawaiian Tropic Antioxidant Lotion, SPF 50",$14.99,Ounce,6.0,$2.50/oz,$14.99,False,,,,,,1
51,Hawaiian Tropic,075486091149,True,Hawaiian Tropic Everyday Active Clear Spray SPF 50,$14.99,Ounce,6.0,$2.50/oz,$14.99,False,,,,,,1
52,Hawaiian Tropic,075486107901,True,Hawaiian Tropic Mineral Skin Nourishing Milk for Face SPF 30,$17.99,Ounce,1.7,$10.58/oz,$17.99,False,,,,,,1
53,Hawaiian Tropic,075486112110,True,Hawaiian Tropic Mineral Skin Nourishing Milk for Face SPF 30,$17.99,Ounce,3.4,$5.29/oz,$17.99,False,,,,,,1
54,Hawaiian Tropic,075486112141,True,Hawaiian Tropic Mineral Skin Nourishing Milk SPF 50,$19.49,Ounce,3.4,$5.73/oz,$21.49,True,19.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,19.49,1
55,Sun Bum,871760002975,True,"Sun Bum Face Lotion, SPF 50",$17.19,Ounce,3.0,$5.73/oz,$18.99,True,17.19,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,17.19,1
56,Hawaiian Tropic,075486091866,True,Hawaiian Tropic Silk Hydration Weightless Lotion SPF 50,$14.99,Ounce,6.0,$2.50/oz,$14.99,False,,,,,,1
57,Hawaiian Tropic,075486091927,True,Hawaiian Tropic Silk Hydration Weightless Continuous Spray SPF 50,$13.49,Ounce,6.0,$2.25/oz,$14.99,True,13.49,Maika`i Member Price,2023-04-05T10:00:00,2023-04-12T09:59:59,13.49,1
