,brand,foodland_name,matches
0,Alba Botanica,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",
1,Alba Botanica,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",
2,Alba Botanica,Alba Botanica Hawaiian Sunscreen Soothing Aloe Vera Spf 30,
3,Alba Botanica,Alba Mineral Sunscreen Spf35,
4,Alba Botanica,"Alba Botanica Sunscreen, Sensitive Mineral Protection Spf 30",
5,Alba Botanica,"Alba Botanica Hawaiian Sunscreen, Revitalizing Green Tea Spf 45",
6,Alba Botanica,Alba Sunscreen Sensitive Spf45,
7,Alba Botanica,"Alba Botanica Sunscreen Active Kids Clear Spray, SPF 50",
8,Alba Botanica,"Alba Botanica Sunscreen Sensitive Spray, SPF 50",
9,Ao Organics,Ao Organics Reef Safe Sunscreen Lot,
10,Ao Organics,Ao Organics Sunscreen Stick Med,
11,Ao Organics,Ao Organics Liquid Sunscreen Tinted,
12,Aveeno,Aveeno Baby Lotion SPF50 Sensitive Skin,
13,Aveeno,Aveeno Mineral Sensitive Skin Sunscreen Stick SPF50,
14,Aveeno,Aveeno Kids Sens Spf50 Lot,
15,Banana Boat,"Banana Boat Sport Mineral Sunscreen Lotion, SPF 50",
16,Banana Boat,Banana Boat Ultra Sport Performance SPF 30 Sunscreen,"Banana Boat Ultra Sport Performance Sunscreen, SPF 30"
17,Banana Boat,"Banana Boat Sport Performance Sunscreen Lotion, SPF 30",
18,Coola,Coola Mineral Face Organic Sunscreen Lotion Sheer Matte SPF 30 – Tinted,
19,Coola,Coola Mineral Body Organic Sunscreen Spray SPF 30 - Fragrence Free,
20,Coola,Coola Mineral Body Organic Sunscreen Lotion SPF 50 - Fragrance Free,
21,Coola,Coola Classic Body Organic Sunscreen Lotion SPF 50 - Guava Mango,Classic Body Organic Sunscreen Lotion SPF 50 - Guava Mango
22,Coola,Coola Classic Body Organic Sunscreen Lotion SPF 50 - Fragrance Free,Classic Body Organic Sunscreen Lotion SPF 50 - Fragrance Free
23,Coola,Coola Mineral Body Organic Sunscreen Lotion SPF 30 - Tropical Coconut,
24,Element Herbs,Eh Coconut Sunscreen Stk Spf30,
25,Hawaiian Tropic,Hawaiian Tropic Mineral Translucent Sunscreen Powder Brush SPF 30,
26,Hawaiian Tropic,Hawaiian Tropic Sheer Touch Ultra Radiance Lotion Sunscreen SPF 15,"Hawaiian Tropic Sheer Touch Ultra Radiance Sunscreen Lotion, SPF 15"
27,Hawaiian Tropic,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 30","Hawaiian Tropic Sheer Touch Ultra Radiance Sunscreen Lotion, SPF 30"
28,Hawaiian Tropic,"Hawaiian Tropic Sheer Touch Sunscreen Lotion, SPF 50","Hawaiian Tropic Sheer Touch Ultra Radiance Sunscreen Lotion, SPF 50"
29,Hawaiian Tropic,"Hawaiian Tropic Silk Hydration Sunscreen Clear Spray, SPF 30","Hawaiian Tropic Silk Hydration Sunscreen Spray, SPF 30"
30,Hawaiian Tropic,"Hawaiian Tropic Silk Hydration Sunscreen Face Lotion, SPF 30","Hawaiian Tropic Silk Hydration Weightless Face Oil-Free Sunscreen Lotion, SPF 30"
31,Hawaiian Tropic,Hawaiian Tropic Everyday Active Lotion SPF 50,
32,Hawaiian Tropic,Hawaiian Tropic Island Sport Lotion SPF 15,"Hawaiian Tropic Island Sport High Performance Sunscreen Lotion, SPF 15"
33,Hawaiian Tropic,Hawaiian Tropic Island Sport Lotion SPF 30,"Hawaiian Tropic Island Sport High Performance Sunscreen Lotion, SPF 30"
34,Hawaiian Tropic,Hawaiian Tropic Antioxidant Lotion SPF 30,"Hawaiian Tropic Antioxidant+ Sunscreen Lotion, SPF 30"
35,Hawaiian Tropic,"Hawaiian Tropic Antioxidant Lotion, SPF 50","Hawaiian Tropic Antioxidant + Sunscreen Lotion, SPF 50"
36,Hawaiian Tropic,Hawaiian Tropic Everyday Active Clear Spray SPF 50,
37,Hawaiian Tropic,Hawaiian Tropic Mineral Skin Nourishing Milk SPF 50,"Hawaiian Tropic Mineral Skin Nourishing Milk Sunscreen Lotion, SPF 50 "
38,Hawaiian Tropic,Hawaiian Tropic Silk Hydration Weightless Lotion SPF 50,"Hawaiian Tropic Silk Hydration Weightless Sunscreen Lotion, SPF 50"
39,Hawaiian Tropic,Hawaiian Tropic Silk Hydration Weightless Continuous Spray SPF 50,
40,Hawaiian Tropic,Hawaiian Tropic Silk Hydration Weightless Oil Mist SPF 15,
41,Hawaiian Tropic,"Hawaiian Tropic Silk Hydration Lotion Sunscreen, SPF 30","Hawaiian Tropic Silk Hydration Weightless Sunscreen Lotion, SPF 30"
42,Hawaiian Tropic,"Hawaiian Tropic Island Sport Sunscreen, SPF 30","Hawaiian Tropic Island Sport Ultra Light High Performance Sunscreen Spray, Light Tropical Scent, SPF 30"
43,Hawaiian Tropic,Hawaiian Tropic Tanning Dry Oil Continuous Spray SPF 30,
44,Hawaiian Tropic,"Hawaiian Tropic Sunscreen Mist, Antioxidant+, SPF 30","Hawaiian Tropic Antioxidant+ Refresh Sunscreen Mist, SPF 30"
45,Hawaiian Tropic,"Hawaiian Tropic Sunscreen, Lotion, Sheer Touch, Broad Spectrum Spf 8",
46,Hawaiian Tropic,Hawaiian Tropic Mineral Skin Nourishing Milk for Face SPF 30,
47,Hawaiian Tropic,"Hawaiian Tropic Sunscreen Tanning Lotion, Spf 4",
48,Hawaiian Tropic,Hawaiian Tropic Lip Balm SPF30,
49,Little Hands Hawaii,Little Hands Hawaii Tinted Sunscreen,
50,Little Hands Hawaii,Little Hands Hawaii Sunscreen Tinted,
51,Little Hands Hawaii,Little Hands Hawaii Sunscreen Original,
52,Maui Vera,Maui Vera Mineral Sunscreen Spf30,
53,Olay,"Olay Moisturizer, All Day, With Sunscreen, Normal","Olay Moisturizer, All Day, With Sunscreen, Normal (Olay Complete Cream Moisturizer with SPF 15 Normal, 2.0 oz)"
54,Olay,"Olay Total Effects Moisturizer, Anti-Aging, Fragrance-Free, With Sunscreen, Broad Spectrum Spf 15",
55,One Love Body Soul,One Love Nat Mineral Sunscreen,One Love Nat Mineral Sunscreen(
56,Sol Remedies,Sol Remedies Sunscreen Reef Safe,Sol Remedies Reef Safe Sunscreen
57,Sun Bum,Sun Bum SPF 50 Lotion Roll-on,Original SPF 50 Sunscreen Roll-On Lotion– Sun Bum
58,Sun Bum,Sun Bum Mineral Lotion Face SPF 30,Mineral SPF 30 Sunscreen Face Lotion– Sun Bum
59,Sun Bum,Sun Bum Mineral Lotion SPF 30,Mineral SPF 30 Sunscreen Lotion– Sun Bum
60,Sun Bum,Sun Bum Baby Spray SPF 50,
61,Sun Bum,Sun Bum SPF 30 Oil Spray,
62,Sun Bum,Sun Bum Face Lotion SPF 70,"SPF 70 Sunscreen Lotion, Original | Face Sunscreen - Sun Bum"
63,Sun Bum,Sun Bum Travel Size Moisturizing Sunscreen Lotion SPF70,
64,Sun Bum,Sun Bum Glow SPF 30 Lotion,Glow SPF 30 Sunscreen Face Lotion Original | Sun Bum
65,Sun Bum,"Sun Bum Moisturizing Sunscreen Spray, SPF 50",
66,Sun Bum,Sun Bum Original SPF 70 Sunscreen Lotion,"SPF 70 Sunscreen Lotion, Original | Face Sunscreen - Sun Bum"
67,Sun Bum,"Sun Bum Face Lotion, SPF 50","SPF 50 Sunscreen Face Lotion, Original Sunscreen | Sun Bum"
68,Sun Bum,Sun Bum Mineral Spray SPF 50,Mineral Sunscreen Spray SPF 50 | Sun Bum
69,Sun Bum,"Sun Bum Sunscreen Spray, SPF 15","Sunscreen Spray SPF 15, Original | Sun Bum"
70,Sun Bum,Sun Bum Original SPF 50 Sunscreen Lotion,"Sunscreen Lotion SPF 50, Original Formula | Sun Bum"
71,Sun Bum,Sun Bum Original SPF 30 Sunscreen Lotion,"Sunscreen Lotion SPF 30, Original | Sun Bum"
72,Sun Bum,Sun Bum Original SPF 15 Sunscreen Lotion,"Sunscreen Lotion SPF 15, Original | Sun Bum"
73,Sun Bum,Sun Bum Day Tripper 3pk,
74,Thinkbaby,Thinkbaby Sunscreen Spf50,
75,Thinksport,Thinksport Sunscreen Spf50,
76,Undefined,Eh Unscntd Sunscreen Stk Spf30,
