id,brand,sku,available,product_name,match_id,price,unit_of_size,size,price_per_size,previous_price,discounted,markdown_price,markdown_label,effective_from,effective_until,whole_price,retailer_store_id
1,"Sol Remedies",7191995160,1,"Sol Remedies Sunscreen Reef Safe",88,19.99,Ounce,4.00,$5.00/oz,$19.99,0,NULL,NULL,NULL,NULL,NULL,50
2,"Sun Bum",871760001923,1,"Sun Bum Original SPF 15 Sunscreen Lotion",104,20.69,Ounce,8.00,$2.59/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,50
3,"Sun Bum",871760001930,1,"Sun Bum Original SPF 30 Sunscreen Lotion",103,20.69,Ounce,8.00,$2.59/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,50
4,"Sun Bum",871760001947,1,"Sun Bum Original SPF 50 Sunscreen Lotion",102,20.69,Ounce,8.00,$2.59/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,50
5,"Ao Organics",274145810,1,"Ao Organics Reef Safe Sunscreen Lot",41,24.99,Ounce,4.00,$6.25/oz,$27.99,1,24.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",24.99,50
6,"Sun Bum",871760001954,1,"Sun Bum Sunscreen Spray, SPF 15",101,20.69,Ounce,6.00,$3.45/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,50
7,"Alba Botanica",724742008437,1,"Alba Botanica Hawaiian Sunscreen, Nourishing Coconut SPF 50",32,20.49,Ounce,6.00,$3.42/oz,$20.49,0,NULL,NULL,NULL,NULL,NULL,50
8,"Alba Botanica",724742003906,1,"Alba Botanica Sunscreen Lotion, Sport Protection, SPF 45",33,14.99,Ounce,4.00,$3.75/oz,$14.99,0,NULL,NULL,NULL,NULL,NULL,50
9,"Alba Botanica",724742008253,1,"Alba Botanica Hawaiian Sunscreen Soothing Aloe Vera Spf 30",34,15.29,Ounce,4.00,$3.82/oz,$15.29,0,NULL,NULL,NULL,NULL,NULL,50
10,"Sun Bum",871760008137,1,"Sun Bum Mineral Spray SPF 50",100,17.99,Each,1.00,NULL,$19.99,1,17.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",17.99,50
11,"Sun Bum",871760002975,1,"Sun Bum Face Lotion, SPF 50",99,17.19,Ounce,3.00,$5.73/oz,$18.99,1,17.19,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",17.19,50
12,"Alba Botanica",724742004040,1,"Alba Mineral Sunscreen Spf35",35,20.99,Ounce,6.00,$3.50/oz,$20.99,0,NULL,NULL,NULL,NULL,NULL,1
13,"Sun Bum",871760000322,1,"Sun Bum Original SPF 50 Sunscreen Lotion",102,12.59,Ounce,3.00,$4.20/oz,$13.99,1,12.59,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.59,1
14,"Hawaiian Tropic",75486091828,1,"Hawaiian Tropic Sunscreen Mist, Antioxidant+, SPF 30",76,13.69,Ounce,3.40,$4.03/oz,$13.69,0,NULL,NULL,NULL,NULL,NULL,1
15,"Sun Bum",871760001930,1,"Sun Bum Original SPF 30 Sunscreen Lotion",103,20.69,Ounce,8.00,$2.59/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,1
16,"Sun Bum",871760002098,1,"Sun Bum Original SPF 70 Sunscreen Lotion",98,20.69,Ounce,8.00,$2.59/oz,$22.99,1,20.69,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",20.69,1
17,"Little Hands Hawaii",680201860643,1,"Little Hands Hawaii Sunscreen Original",83,18.99,Ounce,1.00,$18.99/oz,$18.99,0,NULL,NULL,NULL,NULL,NULL,1
18,"Little Hands Hawaii",680201860636,1,"Little Hands Hawaii Sunscreen Tinted",82,18.99,Ounce,4.00,$4.75/oz,$18.99,0,NULL,NULL,NULL,NULL,NULL,1
19,"Little Hands Hawaii",852673999477,1,"Little Hands Hawaii Tinted Sunscreen",81,15.49,Ounce,4.00,$3.87/oz,$15.49,0,NULL,NULL,NULL,NULL,NULL,1
20,"Maui Vera",856930004041,1,"Maui Vera Mineral Sunscreen Spf30",84,26.99,Ounce,6.50,$4.15/oz,$26.99,0,NULL,NULL,NULL,NULL,NULL,1
21,"Maui Vera",856930004058,1,"Maui Vera Mineral Sunscreen Spf30",84,12.99,Ounce,3.00,$4.33/oz,$14.99,1,12.99,"Maika`i Member Price","2023-04-05 10:00:00","2023-04-12 09:59:59",12.99,1
22,"Hawaiian Tropic",75486089894,1,"Hawaiian Tropic Island Sport Sunscreen, SPF 30",74,13.99,Ounce,6.00,$2.33/oz,$13.99,0,NULL,NULL,NULL,NULL,NULL,1
